City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,isafjordur,66.0755,-23.124,5.020000000000039,81,75,4.63,IS,1717787760
101,iqaluit,63.7506,-68.5145,2.8500000000000227,69,75,2.06,CA,1717787760
102,pangoa,-12.1167,-73.0,30.379999999999995,42,0,1.94,PE,1717787760
103,korla,41.7597,86.1469,24.24000000000001,28,16,1.32,CN,1717787760
104,dzerzhinskoye,56.8344,95.2283,12.080000000000041,76,100,2.83,RU,1717787760
105,kirundo,-2.5833,30.1667,20.760000000000048,56,96,1.37,BI,1717787760
106,maceio,-9.6658,-35.7353,24.689999999999998,94,100,3.09,BR,1717787600
107,mossel bay,-34.1831,22.146,8.960000000000036,73,7,0.46,ZA,1717787761
108,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,65,40,3.09,EC,1717787761
109,conceicao da barra,-18.5933,-39.7322,25.600000000000023,66,0,3.0,BR,1717787761
110,kegen,43.0197,79.2203,10.32000000000005,70,93,2.21,KZ,1717787761
111,luganville,-15.5333,167.1667,25.160000000000025,82,99,3.97,VU,1717787761
112,dudinka,69.4058,86.1778,-1.2899999999999636,96,100,8.05,RU,1717787761
113,maues,-3.3836,-57.7186,32.84000000000003,55,76,1.04,BR,1717787762
114,maralal,1.0968,36.698,17.5,71,53,1.65,KE,1717787762
115,tomatlan,19.9333,-105.25,32.73000000000002,46,0,5.65,MX,1717787762
116,broken hill,-31.95,141.4333,6.82000000000005,87,0,3.68,AU,1717787762
117,kodiak,57.79,-152.4072,7.730000000000018,76,100,6.69,US,1717787762
118,lucheng,31.2336,117.2806,21.100000000000023,80,0,1.02,CN,1717787762
119,okakarara,-20.5833,17.4333,9.410000000000025,31,0,3.63,NA,1717787762
120,talnakh,69.4865,88.3972,-1.5499999999999545,95,100,4.79,RU,1717787763
121,veinticinco de mayo,-35.4323,-60.1727,21.100000000000023,70,94,2.24,AR,1717787763
122,hirara,24.8,125.2833,26.150000000000034,94,75,6.17,JP,1717787763
123,riviere-du-loup,47.8304,-69.5342,15.150000000000034,82,100,1.54,CA,1717787526
124,chonchi,-42.6128,-73.8092,12.840000000000032,92,100,2.5,CL,1717787763
125,alice springs,-23.7,133.8833,2.75,100,0,2.06,AU,1717787763
126,pskov,57.8136,28.3496,15.150000000000034,88,0,1.0,RU,1717787763
127,muynoq,43.7683,59.0214,30.660000000000025,19,3,4.76,UZ,1717787763
128,inari,68.906,27.0288,13.110000000000014,72,100,3.55,FI,1717787764
129,kolpashevo,58.3131,82.9089,10.620000000000005,76,46,2.68,RU,1717787764
130,vanimo,-2.6741,141.3028,25.189999999999998,90,30,1.22,PG,1717787764
131,kot addu,30.4692,70.9671,29.640000000000043,48,5,2.49,PK,1717787764
132,aswan,24.0934,32.907,42.610000000000014,11,0,2.57,EG,1717787764
133,namdrik,5.5994,168.1028,28.650000000000034,77,95,5.78,MH,1717787764
134,kiboga,0.9161,31.7742,19.05000000000001,76,24,1.23,UG,1717787764
135,thompson,55.7435,-97.8558,9.090000000000032,76,100,1.03,CA,1717787764
136,osakarovka,50.565,72.5692,16.560000000000002,88,100,4.67,KZ,1717787764
137,taoudenni,22.6783,-3.9836,42.32000000000005,9,100,4.93,ML,1717787765
138,yerofey pavlovich,53.9667,121.9667,4.32000000000005,89,12,2.08,RU,1717787765
139,wuwei,37.9281,102.6414,16.950000000000045,46,100,1.41,CN,1717787765
140,olinda,-8.0089,-34.8553,27.850000000000023,83,75,3.6,BR,1717787765
141,yuzhno-kurilsk,44.0306,145.8556,11.32000000000005,86,55,3.17,RU,1717787765
142,kalmunai,7.4167,81.8167,27.28000000000003,80,100,8.11,LK,1717787765
143,illizi,26.4833,8.4667,37.89000000000004,13,0,6.31,DZ,1717787765
144,vorgashor,67.5833,63.95,-1.2199999999999704,93,100,3.82,RU,1717787765
145,stanley,54.868,-1.6985,12.379999999999995,76,40,6.17,GB,1717787766
146,la'ie,21.6477,-157.9253,27.980000000000018,80,6,1.34,US,1717787766
147,zaozersk,69.4005,32.4476,9.480000000000018,70,29,6.63,RU,1717787766
148,jayapura,-2.5333,140.7,23.660000000000025,95,43,1.71,ID,1717787766
149,pandan,14.0453,124.1694,26.30000000000001,88,100,2.23,PH,1717787766
150,hami,42.8,93.45,24.939999999999998,11,9,2.7,CN,1717787766
151,mejit,10.2753,170.8646,28.200000000000045,80,100,7.18,MH,1717787766
152,nadym,65.5333,72.5167,6.090000000000032,74,100,4.52,RU,1717787767
153,avarua,-21.2078,-159.775,22.03000000000003,60,100,2.57,CK,1717787767
154,susuman,62.7833,148.1667,7.210000000000036,53,100,6.26,RU,1717787563
155,rodolfo sanchez taboada,31.7167,-116.5667,17.28000000000003,82,100,0.89,MX,1717787767
156,berber,18.0216,33.983,37.75,14,6,4.28,SD,1717787767
157,east london,-33.0153,27.9116,15.54000000000002,75,100,3.46,ZA,1717787767
158,bikenibeu village,1.3673,173.1241,27.980000000000018,78,75,1.03,KI,1717787767
159,cascais,38.6979,-9.4215,20.640000000000043,87,40,5.81,PT,1717787608
160,kostanay,53.1667,63.5833,18.160000000000025,82,40,2.0,KZ,1717787768
161,gorontalo,0.5412,123.0595,23.310000000000002,96,81,0.98,ID,1717787768
162,lepsy,46.235,78.9456,25.430000000000007,29,96,3.62,KZ,1717787768
163,robertsport,6.7533,-11.3686,27.160000000000025,82,100,4.39,LR,1717787768
164,praia da vitoria,38.7333,-27.0667,20.980000000000018,77,20,4.69,PT,1717787768
165,kyelang,32.5833,77.0333,-0.14999999999997726,78,100,2.78,IN,1717787768
166,itanagar,27.1,93.6167,22.410000000000025,85,1,1.69,IN,1717787768
167,bardai,11.65,7.2333,28.360000000000014,58,38,5.57,NG,1717787768
168,khandyga,62.6667,135.6,8.629999999999995,88,2,2.16,RU,1717787768
169,yung shue wan,22.2333,114.1167,25.730000000000018,92,39,5.68,HK,1717787769
170,labytnangi,66.6572,66.4183,4.100000000000023,74,11,3.01,RU,1717787769
171,qaqortoq,60.7167,-46.0333,4.350000000000023,99,100,2.96,GL,1717787769
172,mahina,-17.5065,-149.489,27.870000000000005,74,40,0.51,PF,1717787769
173,whitehorse,60.7161,-135.0538,13.390000000000043,37,20,1.03,CA,1717787769
174,alcantara,-2.4089,-44.4147,25.110000000000014,82,87,4.79,BR,1717787769
175,ust-tsilma,65.441,52.1498,9.78000000000003,62,7,2.24,RU,1717787769
176,edmundston,47.3737,-68.3251,24.510000000000048,53,20,5.66,CA,1717787769
177,gulf shores,30.246,-87.7008,34.76000000000005,63,40,4.63,US,1717787769
178,petropavlovsk-kamchatsky,53.0452,158.6483,11.360000000000014,60,0,3.0,RU,1717787564
179,dwarka,22.2394,68.9678,29.100000000000023,82,0,7.47,IN,1717787770
180,glace bay,46.1969,-59.957,20.439999999999998,68,75,5.14,CA,1717787770
181,adam,22.3756,57.5233,30.870000000000005,55,10,4.49,OM,1717787770
182,tual,-5.6667,132.75,26.689999999999998,81,100,11.24,ID,1717787770
183,kailua-kona,19.6406,-155.9956,25.980000000000018,89,75,3.6,US,1717787562
184,greenville,35.6127,-77.3663,32.01000000000005,42,0,4.12,US,1717787167
185,port saint john's,-31.6229,29.5448,14.890000000000043,88,100,4.77,ZA,1717787770
186,bamboo flat,11.7,92.7167,27.700000000000045,83,100,5.27,IN,1717787770
187,kimbe,-5.5502,150.1429,24.189999999999998,92,96,1.58,PG,1717787770
188,olyokminsk,60.3736,120.4264,8.720000000000027,72,0,0.92,RU,1717787771
